dataset,feature_set,model,seed,T_pct,auroc,auprc,precision,recall,f1,DOR,TP,FP,TN,FN,k
v0_baseline,FOCAL6,GBT,1,15,0.5447288272169792,0.14824649046166205,0.16901408450704225,0.2033898305084746,0.18461538461538463,1.546976559000647,36,177,1064,141,213
v0_baseline,FOCAL6,GBT,1,20,0.5447288272169792,0.14824649046166205,0.15845070422535212,0.2542372881355932,0.19522776572668116,1.4373892149525347,45,239,1002,132,284
v0_baseline,FOCAL6,XGB,1,5,0.5301287917070705,0.1519283424930666,0.19718309859154928,0.07909604519774012,0.11290322580645161,1.8269113149847094,14,57,1184,163,71
v0_baseline,FOCAL6,XGB,1,10,0.5301287917070705,0.1519283424930666,0.1619718309859155,0.12994350282485875,0.14420062695924762,1.4287551962735778,23,119,1122,154,142
v0_baseline,FOCAL6,XGB,1,15,0.5301287917070705,0.1519283424930666,0.15023474178403756,0.1807909604519774,0.1641025641025641,1.3051319190025845,32,181,1060,145,213
v0_baseline,FOCAL6,XGB,1,20,0.5301287917070705,0.1519283424930666,0.14084507042253522,0.22598870056497175,0.1735357917570499,1.2016731734523145,40,244,997,137,284
v0_baseline,FOCAL6,SVM,1,5,0.4893401985823352,0.12877144325644901,0.15492957746478872,0.062146892655367235,0.08870967741935484,1.348844712481076,11,60,1181,166,71
v0_baseline,FOCAL6,SVM,1,10,0.4893401985823352,0.12877144325644901,0.16901408450704225,0.13559322033898305,0.15047021943573669,1.513256092029852,24,118,1123,153,142
v0_baseline,FOCAL6,SVM,1,15,0.4893401985823352,0.12877144325644901,0.13615023474178403,0.1638418079096045,0.1487179487179487,1.138621992280529,29,184,1057,148,213
v0_baseline,FOCAL6,SVM,1,20,0.4893401985823352,0.12877144325644901,0.1267605633802817,0.2033898305084746,0.1561822125813449,1.0312831049903661,36,248,993,141,284
v0_baseline,FOCAL6,FFN,1,5,0.5768903335655134,0.1745184215288096,0.2676056338028169,0.10734463276836158,0.15322580645161288,2.7874718341595313,19,52,1189,158,71
v0_baseline,FOCAL6,FFN,1,10,0.5768903335655134,0.1745184215288096,0.20422535211267606,0.1638418079096045,0.1818181818181818,1.9751553716311425,29,113,1128,148,142
v0_baseline,FOCAL6,FFN,1,15,0.5768903335655134,0.1745184215288096,0.1643192488262911,0.1977401129943503,0.17948717948717952,1.4842694972725932,35,178,1063,142,213
v0_baseline,FOCAL6,FFN,1,20,0.5768903335655134,0.1745184215288096,0.15492957746478872,0.24858757062146894,0.19088937093275488,1.388080388080388,44,240,1001,133,284
v0_baseline,BIBLIO+FOCAL6,LogReg,1,5,0.7587602489335645,0.2834381867418714,0.3380281690140845,0.13559322033898305,0.19354838709677422,4.0137493571061205,24,47,1194,153,71
v0_baseline,BIBLIO+FOCAL6,LogReg,1,10,0.7587602489335645,0.2834381867418714,0.29577464788732394,0.23728813559322035,0.2633228840125392,3.562537864184612,42,100,1141,135,142
v0_baseline,BIBLIO+FOCAL6,LogReg,1,15,0.7587602489335645,0.2834381867418714,0.2863849765258216,0.3446327683615819,0.3128205128205129,3.7714346021248155,61,152,1089,116,213
v0_baseline,BIBLIO+FOCAL6,LogReg,1,20,0.7587602489335645,0.2834381867418714,0.2992957746478873,0.480225988700565,0.368763557483731,4.8301158301158305,85,199,1042,92,284
v0_baseline,BIBLIO+FOCAL6,RF,1,5,0.7677560924532338,0.3496856285448903,0.43661971830985913,0.1751412429378531,0.25,6.378839590443686,31,40,1201,146,71
v0_baseline,BIBLIO+FOCAL6,RF,1,10,0.7677560924532338,0.3496856285448903,0.3732394366197183,0.2994350282485876,0.33228840125391856,5.533530771129209,53,89,1152,124,142
