T_pct,seed,feature,mean_abs_shap
5,18,MF_F02D23,0.017775049433112144
5,18,MF_F02B37,0.07602359354496002
5,18,MF_F02M25,0.04446477070450783
5,18,MF_F01N3,0.005709855817258358
5,18,MF_B60K6,0.0
5,18,MF_F02N11,0.00543530099093914
5,18,MF_F02M37,0.028273051604628563
5,18,MF_F01L1,0.0
5,18,MF_other,0.07308025658130646
5,18,var_conf_pro,0.29005497694015503
5,18,H_final,0.4589204490184784
5,18,delta_H,0.4411798119544983
5,18,conf_gap_change,0.4358232915401459
5,18,cross_domain_attack,0.30682143568992615
5,18,semantic_coherence,0.47738102078437805
10,42,CTO,0.2802847623825073
10,42,STO,0.33105912804603577
10,42,PK,0.46204638481140137
10,42,SK,0.2275557667016983
10,42,TCT,0.7392929196357727
10,42,TS,0.6963368654251099
10,42,NC,0.29765957593917847
10,42,COL,0.023318519815802574
10,42,INV,0.177161306142807
10,42,TKH,0.34426751732826233
10,42,CKH,0.38227924704551697
10,42,PKH,0.2301998883485794
10,42,TTS,0.26625317335128784
10,42,CTS,0.39404818415641785
10,42,PTS,0.3696262836456299
10,42,MF_F02D41,0.10606301575899124
10,42,MF_F02B33,0.06412117183208466
10,42,MF_F02D23,0.03545602411031723
10,42,MF_F02B37,0.04291628673672676
10,42,MF_F02M25,0.01822277158498764
10,42,MF_F01N3,0.001810936606489122
10,42,MF_F02M37,0.03849688172340393
10,42,MF_F02N11,0.024755625054240227
10,42,MF_B60K6,0.005179502535611391
10,42,MF_F01L1,0.005673298146575689
10,42,MF_other,0.0736580640077591
10,42,var_conf_pro,0.3088928163051605
10,42,H_final,0.36618950963020325
10,42,delta_H,0.34230634570121765
10,42,conf_gap_change,0.3380315601825714
10,42,cross_domain_attack,0.18152040243148804
10,42,semantic_coherence,0.39579901099205017
10,0,CTO,0.2740515172481537
10,0,STO,0.3719538450241089
10,0,PK,0.3492588698863983
10,0,SK,0.20941868424415588
10,0,TCT,0.7235155701637268
10,0,TS,0.6609914302825928
10,0,NC,0.29810523986816406
10,0,COL,0.007013965398073196
10,0,INV,0.18949270248413086
10,0,TKH,0.28081467747688293
10,0,CKH,0.5043058395385742
10,0,PKH,0.24792411923408508
10,0,TTS,0.2315586656332016
10,0,CTS,0.5053403377532959
10,0,PTS,0.32831379771232605
10,0,MF_F02D41,0.05638837069272995
10,0,MF_F02B33,0.09733627736568451
10,0,MF_F02D23,0.026486236602067947
10,0,MF_F02B37,0.023969845846295357
10,0,MF_F02M25,0.027385281398892403
10,0,MF_F01N3,0.003418907057493925
10,0,MF_B60K6,0.0049643125385046005
10,0,MF_F02N11,0.0
10,0,MF_F02M37,0.014869359321892262
10,0,MF_F02M21,0.01726195029914379
10,0,MF_other,0.09263995289802551
10,0,var_conf_pro,0.31651023030281067
10,0,H_final,0.4099884629249573
10,0,delta_H,0.33411505818367004
10,0,conf_gap_change,0.2957169711589813
10,0,cross_domain_attack,0.17852653563022614
10,0,semantic_coherence,0.3845021724700928
10,1,CTO,0.31694111227989197
10,1,STO,0.3052583932876587
10,1,PK,0.43579772114753723
10,1,SK,0.24197819828987122
10,1,TCT,0.78146892786026
10,1,TS,0.6258718967437744
10,1,NC,0.3586188852787018
10,1,COL,0.0033907252363860607
10,1,INV,0.14268673956394196
10,1,TKH,0.2620178461074829
10,1,CKH,0.49311503767967224
10,1,PKH,0.27949008345603943
10,1,TTS,0.2721281349658966
10,1,CTS,0.3796541690826416
10,1,PTS,0.22486311197280884
10,1,MF_F02D41,0.06807546317577362
10,1,MF_F02B33,0.08426069468259811
10,1,MF_F02D23,0.030324989929795265
